utt_id,technique,variant,singer_id,cos_to_source,shift_norm,shift_alignment
EN-Alto-1__breathy__technique__innocence__0004_v2,breathy,2,EN-Alto-1,0.653140664100647,0.8328978419303894,0.013642712496221066
EN-Alto-1__breathy__technique__innocence__0005_v0,breathy,0,EN-Alto-1,0.7929753065109253,0.6434667706489563,0.02396923117339611
EN-Alto-1__breathy__technique__innocence__0005_v1,breathy,1,EN-Alto-1,0.7806164026260376,0.6623950004577637,0.034813810139894485
EN-Alto-1__breathy__technique__innocence__0005_v2,breathy,2,EN-Alto-1,0.7397420406341553,0.7214677929878235,0.08465386927127838
EN-Alto-1__breathy__technique__innocence__0006_v0,breathy,0,EN-Alto-1,0.7145901918411255,0.755526065826416,0.09481985121965408
EN-Alto-1__breathy__technique__innocence__0006_v1,breathy,1,EN-Alto-1,0.7138484716415405,0.7565072178840637,0.1054900735616684
EN-Alto-1__breathy__technique__innocence__0006_v2,breathy,2,EN-Alto-1,0.7087095975875854,0.7632697224617004,0.1066061332821846
EN-Alto-1__breathy__technique__innocence__0007_v0,breathy,0,EN-Alto-1,0.35487306118011475,1.13589346408844,0.035497844219207764
EN-Alto-1__breathy__technique__innocence__0007_v1,breathy,1,EN-Alto-1,0.339579701423645,1.1492784023284912,0.041598908603191376
EN-Alto-1__breathy__technique__innocence__0007_v2,breathy,2,EN-Alto-1,0.3137606382369995,1.1715284585952759,0.06882423162460327
EN-Alto-1__breathy__technique__innocence__0008_v0,breathy,0,EN-Alto-1,0.6206098794937134,0.8710800409317017,0.11906173825263977
EN-Alto-1__breathy__technique__innocence__0008_v1,breathy,1,EN-Alto-1,0.6002258658409119,0.8941746950149536,0.07904456555843353
EN-Alto-1__breathy__technique__innocence__0008_v2,breathy,2,EN-Alto-1,0.5832056999206543,0.913010835647583,0.09273088723421097
EN-Alto-1__breathy__technique__innocence__0009_v0,breathy,0,EN-Alto-1,0.6620725989341736,0.8221039772033691,0.1466558426618576
EN-Alto-1__breathy__technique__innocence__0009_v1,breathy,1,EN-Alto-1,0.655167818069458,0.8304603099822998,0.095494344830513
EN-Alto-1__breathy__technique__innocence__0009_v2,breathy,2,EN-Alto-1,0.6308727264404297,0.8592174649238586,0.10492052882909775
