utt_id,singer_id,technique,word_mean_tbe,word_within_50ms,phone_mean_tbe,phone_within_50ms
EN-Alto-1__breathy__control__innocence__0008,EN-Alto-1,breathy,0.11123684210526312,0.631578947368421,0.18757547169811323,0.37735849056603776
EN-Alto-1__breathy__control__innocence__0009,EN-Alto-1,breathy,0.7979117647058822,0.47058823529411764,0.2607659574468085,0.3191489361702128
EN-Alto-1__breathy__control__innocence__0010,EN-Alto-1,breathy,0.3787,0.8,0.24615625000000002,0.8125
EN-Alto-1__breathy__control__innocence__0011,EN-Alto-1,breathy,0.17204166666666665,0.4166666666666667,0.23155952380952374,0.47619047619047616
EN-Alto-1__breathy__control__innocence__0012,EN-Alto-1,breathy,0.4619,0.3,0.57512,0.44
EN-Alto-1__breathy__control__innocence__0013,EN-Alto-1,breathy,1.5740769230769232,0.0,0.8497962962962963,0.0
EN-Alto-1__breathy__speech__innocence__0000,EN-Alto-1,breathy,0.0307631578947368,0.8421052631578947,0.16142156862745102,0.19607843137254902
EN-Alto-1__breathy__speech__innocence__0001,EN-Alto-1,breathy,0.014349999999999979,1.0,0.020770491803278664,0.9016393442622951
EN-Alto-1__breathy__speech__innocence__0002,EN-Alto-1,breathy,0.022728227272727265,0.7272727272727273,0.55559575,0.038461538461538464
EN-Alto-1__breathy__speech__innocence__0003,EN-Alto-1,breathy,0.025100000000000004,0.8,0.028958333333333353,0.8333333333333334
EN-Alto-1__breathy__speech__innocence__0004,EN-Alto-1,breathy,0.03315000000000004,0.9,0.02466129032258064,0.8709677419354839
EN-Alto-1__breathy__speech__innocence__0005,EN-Alto-1,breathy,0.020000000000000018,1.0,0.335,0.23529411764705882
EN-Alto-1__breathy__speech__innocence__0006,EN-Alto-1,breathy,0.016269230769230744,0.9230769230769231,0.3809444444444444,0.07407407407407407
EN-Alto-1__breathy__speech__innocence__0007,EN-Alto-1,breathy,0.017199999999999993,1.0,0.012888888888888901,0.9629629629629629
EN-Alto-1__breathy__speech__innocence__0008,EN-Alto-1,breathy,0.02031578947368411,0.8421052631578947,0.08327358490566032,0.39622641509433965
EN-Alto-1__breathy__speech__innocence__0009,EN-Alto-1,breathy,0.019352941176470642,1.0,0.17223404255319147,0.6170212765957447
EN-Alto-1__breathy__speech__innocence__0010,EN-Alto-1,breathy,0.02140000000000001,0.8,0.009999999999999998,0.9375
EN-Alto-1__breathy__speech__innocence__0011,EN-Alto-1,breathy,0.018000000000000026,1.0,0.13207142857142862,0.35714285714285715
EN-Alto-1__breathy__speech__innocence__0012,EN-Alto-1,breathy,0.09800000000000002,0.8,0.28856000000000004,0.48
EN-Alto-1__breathy__speech__innocence__0013,EN-Alto-1,breathy,0.013615384615384588,0.9230769230769231,0.3175925925925926,0.07407407407407407
EN-Alto-1__breathy__technique__let_it_go__0000,EN-Alto-1,breathy,0.09980769230769217,0.3076923076923077,0.1263139534883721,0.3023255813953488
EN-Alto-1__breathy__technique__let_it_go__0001,EN-Alto-1,breathy,0.10944736842105265,0.47368421052631576,0.16206617647058832,0.2647058823529412
EN-Alto-1__breathy__technique__let_it_go__0002,EN-Alto-1,breathy,0.5353750000000003,0.3333333333333333,2.0240892857142856,0.10714285714285714
EN-Alto-1__breathy__technique__let_it_go__0003,EN-Alto-1,breathy,0.06603125000000004,0.5625,0.6422692307692308,0.0
EN-Alto-1__breathy__technique__let_it_go__0004,EN-Alto-1,breathy,0.04743749999999993,0.75,0.9263823529411763,0.0
EN-Alto-1__breathy__technique__let_it_go__0005,EN-Alto-1,breathy,0.06768181818181816,0.8181818181818182,0.03175862068965514,0.8275862068965517
EN-Alto-1__breathy__technique__let_it_go__0006,EN-Alto-1,breathy,0.45566666666666666,0.3333333333333333,0.5784838709677419,0.25806451612903225
EN-Alto-1__breathy__control__let_it_go__0000,EN-Alto-1,breathy,0.13003846153846155,0.46153846153846156,0.13268604651162785,0.6046511627906976
EN-Alto-1__breathy__control__let_it_go__0001,EN-Alto-1,breathy,0.0703421052631579,0.47368421052631576,0.14855147058823526,0.27941176470588236
EN-Alto-1__breathy__control__let_it_go__0002,EN-Alto-1,breathy,0.1107083333333333,0.6666666666666666,1.334428571428571,0.0
EN-Alto-1__breathy__control__let_it_go__0003,EN-Alto-1,breathy,0.14390625,0.625,0.5449102564102564,0.02564102564102564
EN-Alto-1__breathy__control__let_it_go__0004,EN-Alto-1,breathy,1.0061250000000002,0.25,0.910264705882353,0.058823529411764705
EN-Alto-1__breathy__control__let_it_go__0005,EN-Alto-1,breathy,0.10377272727272725,0.7272727272727273,0.06887931034482761,0.7586206896551724
EN-Alto-1__breathy__control__let_it_go__0006,EN-Alto-1,breathy,0.7570416666666668,0.0,0.9030322580645163,0.22580645161290322
EN-Alto-1__breathy__speech__let_it_go__0000,EN-Alto-1,breathy,0.02676923076923062,0.8461538461538461,0.028511627906976766,0.7906976744186046
EN-Alto-1__breathy__speech__let_it_go__0001,EN-Alto-1,breathy,0.039263157894736896,0.7368421052631579,0.07979411764705882,0.38235294117647056
EN-Alto-1__breathy__speech__let_it_go__0002,EN-Alto-1,breathy,0.10675,0.3333333333333333,0.6891785714285714,0.0
EN-Alto-1__breathy__speech__let_it_go__0003,EN-Alto-1,breathy,0.0295,0.8125,0.5856538461538461,0.0
EN-Alto-1__breathy__speech__let_it_go__0004,EN-Alto-1,breathy,0.04625000000000003,0.625,0.36176470588235293,0.0
EN-Alto-1__breathy__speech__let_it_go__0005,EN-Alto-1,breathy,0.03554545454545458,0.6363636363636364,0.20446428571428574,0.21428571428571427
EN-Alto-1__breathy__speech__let_it_go__0006,EN-Alto-1,breathy,0.024916666666666625,1.0,0.05996774193548386,0.7096774193548387
EN-Alto-1__breathy__technique__once_up_a_dream__0000,EN-Alto-1,breathy,0.14354545454545445,0.5454545454545454,0.17857142857142877,0.42857142857142855
EN-Alto-1__breathy__technique__once_up_a_dream__0001,EN-Alto-1,breathy,0.4563124999999999,0.25,0.6642941176470588,0.2647058823529412
EN-Alto-1__breathy__technique__once_up_a_dream__0002,EN-Alto-1,breathy,0.04800000000000001,0.6666666666666666,0.3065892857142857,0.17857142857142858
EN-Alto-1__breathy__control__once_up_a_dream__0000,EN-Alto-1,breathy,0.12727272727272715,0.5454545454545454,0.21799999999999994,0.5
EN-Alto-1__breathy__control__once_up_a_dream__0001,EN-Alto-1,breathy,0.1333437500000002,0.25,0.373514705882353,0.20588235294117646
EN-Alto-1__breathy__control__once_up_a_dream__0002,EN-Alto-1,breathy,0.0687777777777778,0.4444444444444444,0.30660714285714274,0.14285714285714285
EN-Alto-1__breathy__speech__once_up_a_dream__0000,EN-Alto-1,breathy,0.03109090909090908,0.7272727272727273,0.05164285714285717,0.6071428571428571
EN-Alto-1__breathy__speech__once_up_a_dream__0001,EN-Alto-1,breathy,0.023406249999999993,0.875,0.23042647058823532,0.17647058823529413
EN-Alto-1__breathy__speech__once_up_a_dream__0002,EN-Alto-1,breathy,0.04455555555555554,0.6666666666666666,0.14335714285714288,0.14285714285714285
EN-Alto-1__breathy__speech__once_up_a_dream__0003,EN-Alto-1,breathy,0.02258695652173917,0.8695652173913043,0.33841666666666664,0.2962962962962963
EN-Alto-1__breathy__technique__safe_and_sound__0000,EN-Alto-1,breathy,0.03593750000000004,0.625,0.3260425531914894,0.0
EN-Alto-1__breathy__technique__safe_and_sound__0001,EN-Alto-1,breathy,1.2443235294117643,0.4117647058823529,0.8573867924528301,0.09433962264150944
EN-Alto-1__breathy__technique__safe_and_sound__0002,EN-Alto-1,breathy,0.07233333333333336,0.7777777777777778,0.14569230769230773,0.3076923076923077
EN-Alto-1__breathy__technique__safe_and_sound__0003,EN-Alto-1,breathy,0.11550000000000013,0.5555555555555556,0.09171153846153843,0.6538461538461539
